,Unnamed: 0_ctx,names,scores_ctx,logfoldchanges_ctx,pvals_ctx,pvals_adj_ctx,subclass_ctx,group_ctx,Unnamed: 0_new,scores_new,logfoldchanges_new,pvals_new,pvals_adj_new,subclass_new,group_new
65,2356877,Rasal2,2.5517857,0.52204263,0.0107172425840731,1.0,L5 IT CTX,Satb2,678022,3.0248454,0.36853093,0.0024876020308956,1.0,L5 IT,Satb2
66,2356876,Pank3,2.5525982,0.9892552,0.0106922721460683,1.0,L5 IT CTX,Satb2,681429,0.4622649,0.04012949,0.6438913647304173,1.0,L5 IT,Satb2
67,2356875,F730043M19Rik,2.555849,1.6550404,0.0105929069418095,1.0,L5 IT CTX,Satb2,679487,0.93874514,0.55900425,0.3478616107537081,1.0,L5 IT,Satb2
68,2356874,Cntn6,2.555849,0.58850896,0.0105929069418095,1.0,L5 IT CTX,Satb2,678089,2.4534779,0.45671034,0.0141482248275508,1.0,L5 IT,Satb2
69,2356873,Bzw2,2.5647883,0.6785855,0.010323874404754,1.0,L5 IT CTX,Satb2,678532,1.5037159,0.41324818,0.1326545500989962,1.0,L5 IT,Satb2
70,2356872,Zdhhc23,2.5745404,0.94429636,0.0100373350935123,1.0,L5 IT CTX,Satb2,678350,1.7148136,0.3888788,0.0863794163968092,1.0,L5 IT,Satb2
71,2356871,Aff2,2.585918,0.53341115,0.0097120079915506,1.0,L5 IT CTX,Satb2,706589,-0.15228178,-0.09462593,0.8789647033761946,1.0,L5 IT,Satb2
72,2356870,Mfsd10,2.589981,1.5502666,0.0095981177712288,1.0,L5 IT CTX,Satb2,684178,0.17138362,-0.092982896,0.8639221299534809,1.0,L5 IT,Satb2
73,2356869,Myo16,2.5907938,0.6305927,0.0095754831441221,1.0,L5 IT CTX,Satb2,678866,1.2308702,0.21992826,0.2183713915353313,1.0,L5 IT,Satb2
74,2356868,Ptk2b,2.6021712,0.680988,0.0092635583906659,1.0,L5 IT CTX,Satb2,687494,0.014837255,-0.069494404,0.9881620174849444,1.0,L5 IT,Satb2
75,2356867,Sec31a,2.6143613,0.75708,0.0089394447632564,1.0,L5 IT CTX,Satb2,679349,0.99027574,0.31644452,0.3220393667570006,1.0,L5 IT,Satb2
76,2356866,Lrrtm3,2.63224,0.40521997,0.00848239052708,1.0,L5 IT CTX,Satb2,687098,0.037492946,-0.0049986704,0.9700919658143768,1.0,L5 IT,Satb2
77,2356897,Sppl2a,2.4144444,0.7739578,0.015759230724088,1.0,L5 IT CTX,Satb2,709167,-0.54977804,-0.16051215,0.5824716118748807,1.0,L5 IT,Satb2
78,2356896,Cux1,2.4258218,0.82460976,0.0152737711174153,1.0,L5 IT CTX,Satb2,685486,0.11549959,-0.043955367,0.908049144253812,1.0,L5 IT,Satb2
79,2356895,Grin2a,2.4404497,0.23328026,0.0146689847327242,1.0,L5 IT CTX,Satb2,678067,2.633213,0.20660292,0.0084581286772086,1.0,L5 IT,Satb2
80,2356894,Nat10,2.444513,1.3287617,0.0145047793529604,1.0,L5 IT CTX,Satb2,707633,-0.24956797,-0.17280746,0.802921476178849,1.0,L5 IT,Satb2
81,2356893,Msi2,2.444513,0.5510872,0.0145047793529604,1.0,L5 IT CTX,Satb2,679294,1.0123984,0.16555071,0.3113476306285468,1.0,L5 IT,Satb2
82,2356892,Traf3,2.4453259,0.6558669,0.0144721334619637,1.0,L5 IT CTX,Satb2,679303,1.0060903,0.28654665,0.3143721402239231,1.0,L5 IT,Satb2
83,2356891,Togaram1,2.4591413,0.973138,0.0139269823098239,1.0,L5 IT CTX,Satb2,709342,-0.61259204,-0.43694538,0.5401461068803439,1.0,L5 IT,Satb2
84,2356890,Sh3rf3,2.4623919,0.50162894,0.0138013769337195,1.0,L5 IT CTX,Satb2,679883,0.8026333,0.17253682,0.4221867066224876,1.0,L5 IT,Satb2
85,2356889,Rnf130,2.494086,0.5171983,0.012628192445963,1.0,L5 IT CTX,Satb2,678503,1.5316135,0.279253,0.1256178566719882,1.0,L5 IT,Satb2
86,2356888,Klhl3,2.4989622,0.66976005,0.0124557638960256,1.0,L5 IT CTX,Satb2,678413,1.6383172,0.49559632,0.1013555243284092,1.0,L5 IT,Satb2
87,2356887,Tiam2,2.4997747,0.7247855,0.0124272294094005,1.0,L5 IT CTX,Satb2,707747,-0.26022947,-0.1611797,0.7946867778167599,1.0,L5 IT,Satb2
88,2356886,Dab2ip,2.5079014,0.5940592,0.0121450532726466,1.0,L5 IT CTX,Satb2,679309,1.0052018,0.28203794,0.3147996745037188,1.0,L5 IT,Satb2
89,2356885,Asb3,2.5119648,0.8007702,0.0120061060874422,1.0,L5 IT CTX,Satb2,679474,0.941144,0.21126592,0.346631080660058,1.0,L5 IT,Satb2
90,2356884,Arhgap39,2.5233421,0.5787319,0.0116245220733495,1.0,L5 IT CTX,Satb2,679808,0.8266217,0.111926824,0.4084515186393647,1.0,L5 IT,Satb2
91,2356883,Eif5b,2.5314689,1.0626618,0.0113585889088303,1.0,L5 IT CTX,Satb2,681800,0.4056701,0.01452569,0.684985011771446,1.0,L5 IT,Satb2
92,2356882,Gcc2,2.5395956,0.70831686,0.0110980707345041,1.0,L5 IT CTX,Satb2,708568,-0.3920767,-0.122927204,0.6950015500095744,1.0,L5 IT,Satb2
93,2356913,Otud7a,2.3543067,0.36311787,0.0185572919808747,1.0,L5 IT CTX,Satb2,679045,1.1317183,0.16710274,0.2577528832693658,1.0,L5 IT,Satb2
94,2356912,Trak2,2.3543067,0.5355642,0.0185572919808747,1.0,L5 IT CTX,Satb2,678211,1.9711338,0.36332446,0.0487085738072725,1.0,L5 IT,Satb2
95,2356911,Coq2,2.3551195,0.71233207,0.0185167556813089,1.0,L5 IT CTX,Satb2,683933,0.18906395,0.042376876,0.8500426982092075,1.0,L5 IT,Satb2
96,2356910,Rxfp1,2.35837,1.1737496,0.0183553843652398,1.0,L5 IT CTX,Satb2,685116,0.12767147,-0.2147264,0.8984089677282229,1.0,L5 IT,Satb2
97,2356909,Ano4,2.3738108,0.5315287,0.0176055688590152,1.0,L5 IT CTX,Satb2,680537,0.63045007,0.14956585,0.5284001553653315,1.0,L5 IT,Satb2
98,2356908,Fbxo41,2.3762488,0.9157779,0.017489664584071,1.0,L5 IT CTX,Satb2,709577,-0.7102336,-0.43891677,0.4775592620943103,1.0,L5 IT,Satb2
99,2356907,Osbpl10,2.378687,0.5642938,0.017374429838381,1.0,L5 IT CTX,Satb2,680267,0.6955741,0.12316642,0.4866956044222337,1.0,L5 IT,Satb2
